"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","lat","lng"
"Nine Months","1995","Jones Street at Bush","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","37.7895396","-122.4137511"
"Summertime","2015","Alamo Square","","Creative Monster Productions, Inc.","7 Distribution","Gabriele Muccino","Gabriele Muccino","Jessica Rothe","Scott Bakula","Matilda Anna Ingrid Lutz","37.7774994","-122.433252"
"Nine Months","1995","101 Henry Adams Place, 4th Floor","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","37.7681477","-122.4034548"
"Nine Months","1995","60 Spear Street","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","37.7925749","-122.3945751"
"Nine Months","1995","Chrissy Field","Chrissy Field was originally an airfield for the Presidio Army Base.","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.8040257,-122.4650165
"Nine Months","1995","Wasteland Store (1600 Haight Street)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","37.769952","-122.4496406"
"Nine Months","1995","Belli Building (722 Montgomery Street at Washington)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","37.7961117","-122.4031027"
"Nine Months","1995","Star's Café (55 Golden Gate Avenue at Van Ness)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","37.7821176","-122.4112732"
"Nine Months","1995","Star's Café (55 Golden Gate Avenue at Van Ness)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7821176,-122.4112732
"Nine Months","1995","Belli Building (722 Montgomery Street at Washington)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7961117,-122.4031027
"Nine Months","1995","Chrissy Field","Chrissy Field was originally an airfield for the Presidio Army Base. ","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.8040257,-122.4650165
"Nine Months","1995","Wasteland Store (1600 Haight Street)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.769952,-122.4496406
"Nine Months","1995","60 Spear Street","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7925749,-122.3945751
"Nine Months","1995","101 Henry Adams Place, 4th Floor","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7681477,-122.4034548
"Nine Months","1995","Alamo Square","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7774994,-122.433252
"Nine Months","1995","Jones Street at Bush","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7895396,-122.4137511
"Nine Months","1995","Jack Kerouac Alley between Columbus & Grant Streets","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7974923,-122.4069044
"Nine Months","1995","Marathon Plaza (303 2nd Street)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7852285,-122.3953158
"Nine Months","1995","Pierce Street between Pacific & Green Streets","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",41.2478813,-96.03169489999999
"Nine Months","1995","The Malloch Apartment Building (1360 Montgomery Street)","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.8017724,-122.4043841
"Nine Months","1995","Montgomery & Vallejo Streets","","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",32.3792233,-86.3077368
"Nine Months","1995","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.08271190000001,-94.517125
"Nine Months","1995","San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)","SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ","1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams",37.7556526,-122.4053537
"Nine to Five","1980","Albert S. Samuels Clock (856 Market Street between Powell and Stockton)","","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Colin Higgins","Colin Higgins","Jane Fonda","Lily Tomlin","Dolly Parton","37.7850278","-122.4069149"
"Nine to Five","1980","Albert S. Samuels Clock (856 Market Street between Powell and Stockton)","","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Colin Higgins","Colin Higgins","Jane Fonda","Lily Tomlin","Dolly Parton",37.7850278,-122.4069149
"Nora Prentiss","1947","Belgravia Apartments (795 Sutter Street at Jones)","","Warner Bros. Pictures","Warner Bros. Pictures","Vincent Sherman","N. Richard Nash","Ann Sheridan","Kent Smith","Bruce Bennett","37.7885369","-122.4132913"
"Nora Prentiss","1947","Belgravia Apartments (795 Sutter Street at Jones)","","Warner Bros. Pictures","Warner Bros. Pictures","Vincent Sherman","N. Richard Nash","Ann Sheridan","Kent Smith","Bruce Bennett",37.7885369,-122.4132913
"On the Beach","1959","","","Stanley Kramer Productions","United Artists","Stanley Kramer","John Paxton","Gregory Peck","Ava Gardner","Fred Astaire",37.7749295,-122.4194155
"On the Beach","1959","","","Stanley Kramer Productions","United Artists","Stanley Kramer","John Paxton","Gregory Peck","Ava Gardner","Fred Astaire",37.7749295,-122.4194155
"On the Road","2012","Filbert & Leavenworth Streets","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","","39.2250139","-76.5920417"
"On the Road","2012","2017 23rd Street","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","","37.7544983","-122.4000696"
"On the Road","2012","Sacramento & Montgomery Streets","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","","38.5815719","-121.4943996"
"On the Road","2012","Bay Bridge","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","",37.7982799,-122.3778182
"On the Road","2012","Bay Bridge","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","",37.7982799,-122.3778182
"On the Road","2012","Sacramento & Montgomery Streets","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","",38.5815719,-121.4943996
"On the Road","2012","2017 23rd Street","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","",37.7544983,-122.4000696
"On the Road","2012","Filbert & Leavenworth Streets","","SPAD Films","IFC Films & Sundance Selects","Walter Salles","Jack Kerouac & Jose Rivera","Garrett Hedlund","Viggo Mortenson","",39.2250139,-76.5920417
"Pacific Heights","1990","Financial District","","Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine","",37.7945742,-122.3999445
"Pacific Heights","1990","Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine","",37.7941378,-122.4077914
"Pacific Heights","1990","Texas & 19th Streets (Potrero Hill)","","Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine","","31.9685988","-99.9018131"
"Pacific Heights","1990","Texas & 19th Streets (Potrero Hill)","","Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine","",31.9685988,-99.9018131
"Pacific Heights","1990","Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine","",37.7941378,-122.4077914
"Pacific Heights","1990","Financial District","","Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine","",37.7945742,-122.3999445
"Pal Joey","1957","Spreckels Mansion (2080 Washington Street, Pacific Heights)","","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak","37.792733","-122.427541"
"Pal Joey","1957","Barbary Coast","The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak","37.781907","-122.4078286"
"Pal Joey","1957","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak",37.8023949,-122.4058222
"Pal Joey","1957","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak",37.8023949,-122.4058222
"Pal Joey","1957","Barbary Coast","The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak",37.781907,-122.4078286
"Pal Joey","1957","Spreckels Mansion (2080 Washington Street, Pacific Heights)","","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak",37.792733,-122.427541
"Panther","1995","","","Gramercy Pictures","PolyGram Video","Mario Van Peebles","Mario Van Peebles","Kadeem Hardison","Bookeem Woodbine","",37.7749295,-122.4194155
"Panther","1995","","","Gramercy Pictures","PolyGram Video","Mario Van Peebles","Mario Van Peebles","Kadeem Hardison","Bookeem Woodbine","",37.7749295,-122.4194155
"Parks and Recreation","2014","Larkin & Fulton","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","","42.0335396","-88.3137211"
"Parks and Recreation","2014","Columbus and Green","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","","37.799341","-122.4088078"
"Parks and Recreation","2014","Embarcadero & Market","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","","37.7992627","-122.3976732"
"Parks and Recreation","2014","Filbert from Hyde to Leavenworth","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","","37.8000576","-122.4191684"
"Parks and Recreation","2014","Filbert from Hyde to Leavenworth","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","",37.8000576,-122.4191684
"Parks and Recreation","2014","Columbus and Green","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","",37.799341,-122.4088078
"Parks and Recreation","2014","Larkin & Fulton","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","",42.0335396,-88.3137211
"Parks and Recreation","2014","Embarcadero & Market","","NBC Universal Media, LLC","NBC Universal Media, LLC","Dean Holland","Greg Daniels","Amy Poehler","","",37.7992627,-122.3976732
"Patch Adams","1998","Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","Bungalow 78 Productions","Universal Pictures","Tom Shadyac","Steve Oedekerk","Robin Williams","Philip Seymour Hoffman","",37.8235515,-122.370648
"The Presidio","1988","Presidio (Golden Gate National Recreation Area)","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ","Paramount Pictures","Paramount Pictures","Peter Hyams","Larry Ferguson","Sean Connery","Mark Harmon","Meg Ryan","37.8480359","-122.5295263"
"Patch Adams","1998","Sheraton Palace Hotel (639 Market Street)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.","Bungalow 78 Productions","Universal Pictures","Tom Shadyac","Steve Oedekerk","Robin Williams","Philip Seymour Hoffman","",37.7880304,-122.4018602
"Patch Adams","1998","Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","Bungalow 78 Productions","Universal Pictures","Tom Shadyac","Steve Oedekerk","Robin Williams","Philip Seymour Hoffman","",37.8235515,-122.370648
"Patch Adams","1998","Sheraton Palace Hotel (639 Market Street)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ","Bungalow 78 Productions","Universal Pictures","Tom Shadyac","Steve Oedekerk","Robin Williams","Philip Seymour Hoffman","",37.7880304,-122.4018602
"Patch Adams","1998","Presidio (Golden Gate National Recreation Area)","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ","Bungalow 78 Productions","Universal Pictures","Tom Shadyac","Steve Oedekerk","Robin Williams","Philip Seymour Hoffman","",37.8480359,-122.5295263
"Patty Hearst","1988","Postcard Row (Alamo Square, Hayes Valley)","The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.","Atlantic Entertainment Group","Atlantic Releasing Corporation","Paul Schrader","Nicholas Kazan","Natasha Richardson","William Forsythe","Ving Rhames",37.7762593,-122.432758
"Patty Hearst","1988","Bank of America (38th Street at Balboa Street)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","Atlantic Entertainment Group","Atlantic Releasing Corporation","Paul Schrader","Nicholas Kazan","Natasha Richardson","William Forsythe","Ving Rhames","37.7754416","-122.4985965"
"Patty Hearst","1988","Bank of America (38th Street at Balboa Street)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","Atlantic Entertainment Group","Atlantic Releasing Corporation","Paul Schrader","Nicholas Kazan","Natasha Richardson","William Forsythe","Ving Rhames",37.7754416,-122.4985965
"Patty Hearst","1988","Postcard Row (Alamo Square, Hayes Valley)","The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.","Atlantic Entertainment Group","Atlantic Releasing Corporation","Paul Schrader","Nicholas Kazan","Natasha Richardson","William Forsythe","Ving Rhames",37.7762593,-122.432758
"Petulia","1968","Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.8106185,-122.4770527
"Petulia","1968","Pier 43 1/2","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.80911,-122.41465
"Petulia","1968","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.7923897,-122.4104443
"Petulia","1968","Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain","37.7702366","-122.4695459"
"Petulia","1968","2417 Franklin Street","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain","37.79674869999999","-122.4254561"
"Petulia","1968","307 Filbert Street","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain","37.801762","-122.404949"
"Petulia","1968","Cala Foods (California Street and Hyde)","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain","37.7907129","-122.4177829"
"Petulia","1968","Cala Foods (California Street and Hyde)","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.7907129,-122.4177829
"Petulia","1968","307 Filbert Street","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.801762,-122.404949
"Petulia","1968","2417 Franklin Street","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.79674869999999,-122.4254561
"Petulia","1968","Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.7702366,-122.4695459
"Petulia","1968","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.7923897,-122.4104443
"Petulia","1968","Pier 43 1/2","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.80911,-122.41465
"Petulia","1968","Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain",37.8106185,-122.4770527
"Phenomenon","1996","Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","Touchstone Pictures","Buena Vista Pictures","Jon Turteltaub","Gerald Dipego","John Travolta","Kyra Sedgwick","",37.8235515,-122.370648
"Phenomenon","1996","Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","Touchstone Pictures","Buena Vista Pictures","Jon Turteltaub","Gerald Dipego","John Travolta","Kyra Sedgwick","",37.8235515,-122.370648
"Playing Mona Lisa","2000","Conservatory of Flowers (Golden Gate Park)","The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.","The Bubble Factory","Buena Vista Pictures","Matthew Huffman","Marni Freedman","Alicia Witt","Harvey Fierstein","",37.7726187,-122.4602558
"Playing Mona Lisa","2000","Conservatory of Flowers (Golden Gate Park)","The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.","The Bubble Factory","Buena Vista Pictures","Matthew Huffman","Marni Freedman","Alicia Witt","Harvey Fierstein","",37.7726187,-122.4602558
"Play it Again, Sam","1972","15-17 Fresno Street","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","37.7985524","-122.405942"
"Play it Again, Sam","1972","Aquatic Park (Jefferson Street)","Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.8063859,-122.4235308
"Play it Again, Sam","1972","Surf Theater (4520 Irving Street)","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","37.762493","-122.5066205"
"The Wedding Planner","2001","The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)","Golden Gate Park is similar in shape but 20% larger than New York's Central Park.","Columbia Pictures","Sony Pictures Entertainment","Adam Shankman","Pamela Falk","Jennifer Lopez","Matthew McConaughey","","37.7687727","-122.4683398"
"Play it Again, Sam","1972","Hyde Street Cable Car","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.806642,-122.420535
"Play it Again, Sam","1972","Balboa at 22nd Avenue","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","37.7764599","-122.4812627"
"Play it Again, Sam","1972","Balboa at 22nd Avenue","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.7764599,-122.4812627
"Play it Again, Sam","1972","Hyde Street Cable Car","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.806642,-122.420535
"Play it Again, Sam","1972","The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)","The theater closed in 1985.","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.7687727,-122.4683398
"Play it Again, Sam","1972","15-17 Fresno Street","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.7985524,-122.405942
"Play it Again, Sam","1972","Surf Theater (4520 Irving Street)","","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.762493,-122.5066205
"Play it Again, Sam","1972","Aquatic Park (Jefferson Street)","Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts",37.8063859,-122.4235308
"Pleasure of His Company","1961","2700 Vallejo Street (Pacific Heights)","","Perlsea Company","Parmaount Pictures","George Seaton","Samuel A. Taylor","Fred Astaire","Debbie Reynolds","Lilli Palmer",37.7946105,-122.4420204
"Pleasure of His Company","1961","Grace Cathedral Episcopal Church (1100 California Street)","Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.","Perlsea Company","Paramount Pictures","George Seaton","Samuel A. Taylor","Fred Astaire","Debbie Reynolds","Lilli Palmer",37.7919185,-122.4130261
"Pleasure of His Company","1961","Grace Cathedral Episcopal Church (1100 California Street)","Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.","Perlsea Company","Paramount Pictures","George Seaton","Samuel A. Taylor","Fred Astaire","Debbie Reynolds","Lilli Palmer",37.7919185,-122.4130261
"Pleasure of His Company","1961","2700 Vallejo Street (Pacific Heights)","","Perlsea Company","Parmaount Pictures","George Seaton","Samuel A. Taylor","Fred Astaire","Debbie Reynolds","Lilli Palmer",37.7946105,-122.4420204
"Point Blank","1967","Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","John Boorman","Alexander Jacobs","Lee Marvin","Angie Dickinson","Keenan Wynn",37.8106185,-122.4770527
"Point Blank","1967","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","John Boorman","Alexander Jacobs","Lee Marvin","Angie Dickinson","Keenan Wynn",37.8269775,-122.4229555
"Point Blank","1967","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","John Boorman","Alexander Jacobs","Lee Marvin","Angie Dickinson","Keenan Wynn",37.8269775,-122.4229555
"Point Blank","1967","Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","John Boorman","Alexander Jacobs","Lee Marvin","Angie Dickinson","Keenan Wynn",37.8106185,-122.4770527
"Pretty Woman","1990","","","Touchstone Pictures","Buena Vista Pictures","Garry Marshall","J.F. Lawton","Richard Gere","Julia Roberts","",37.7749295,-122.4194155
"Pretty Woman","1990","","","Touchstone Pictures","Buena Vista Pictures","Garry Marshall","J.F. Lawton","Richard Gere","Julia Roberts","",37.7749295,-122.4194155
"Psych-Out","1968","","","Dick Clark Productions","American International Pictures (AIP)","Richard Rush","Betty Tusher","Jack Nicholson","Susan Strasberg","Dean Stockwell",37.7749295,-122.4194155
"Psych-Out","1968","","","Dick Clark Productions","American International Pictures (AIP)","Richard Rush","Betty Tusher","Jack Nicholson","Susan Strasberg","Dean Stockwell",37.7749295,-122.4194155
"Pushing Dead","2016","Matching Half Café, 1799 McAllister Street","","Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert","37.7773006","-122.4414933"
"Pushing Dead","2016","Hayes Street between Ashbury and Shrader","","Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert","37.7753881","-122.4348106"
"Pushing Dead","2016","5th Ave @ Fulton Street in Golden Gate Park","","Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert","37.7694208","-122.4862138"
